572800
102 DATA: {'roll': '-24.26', 'pitch': '-7.94', 'yaw': '-282.92', 'AccX': '0.18', 'AccY': '0.01', 'AccZ': '0.06', 'millis': '608513'}
103 DATA: {'roll': '-12.06', 'pitch': '-17.18', 'yaw': '-316.91', 'AccX': '1.35', 'AccY': '-0.38', 'AccZ': '0.06', 'millis': '608762'}
104 DATA: {'roll': '-58.42', 'pitch': '-9.05', 'yaw': '-317.37', 'AccX': '1.31', 'AccY': '-0.62', 'AccZ': '-0.28', 'millis': '19188'}
105 DATA: {'roll': '9.48', 'pitch': '-12.60', 'yaw': '320.85', 'AccX': '0.99', 'AccY': '-0.09', 'AccZ': '-0.20', 'millis': '609512'}
106 DATA: {'roll': '-86.24', 'pitch': '3.66', 'yaw': '246.49', 'AccX': '1.00', 'AccY': '-0.71', 'AccZ': '0.16', 'millis': '21586'}
107 DATA: {'roll': '58.09', 'pitch': '-34.08', 'yaw': '254.00', 'AccX': '1.17', 'AccY': '-0.44', 'AccZ': '-0.19', 'millis': '22839'}
108 DATA: {'roll': '-28.67', 'pitch': '-41.57', 'yaw': '317.91', 'AccX': '-0.48', 'AccY': '-0.03', 'AccZ': '0.29', 'millis': '613313'}
109 DATA: {'roll': '-2.48', 'pitch': '-6.22', 'yaw': '311.87', 'AccX': '-0.53', 'AccY': '-0.01', 'AccZ': '0.72', 'millis': '613563'}
110 DATA: {'roll': '-8.84', 'pitch': '-1.71', 'yaw': '300.24', 'AccX': '-0.78', 'AccY': '-0.10', 'AccZ': '0.41', 'millis': '613813'}
111 DATA: {'roll': '-1.06', 'pitch': '-6.26', 'yaw': '265.01', 'AccX': '-0.43', 'AccY': '-0.70', 'AccZ': '0.95', 'millis': '614113'}
112 DATA: {'roll': '-9.70', 'pitch': '-3.79', 'yaw': '255.74', 'AccX': '-0.10', 'AccY': '-0.44', 'AccZ': '0.67', 'millis': '614363'}
113 DATA: {'roll': '-44.15', 'pitch': '-8.02', 'yaw': '190.98', 'AccX': '0.21', 'AccY': '-0.36', 'AccZ': '-0.10', 'millis': '614612'}
114 DATA: {'roll': '-30.99', 'pitch': '-11.32', 'yaw': '181.19', 'AccX': '1.50', 'AccY': '-0.47', 'AccZ': '-0.21', 'millis': '25039'}
115 DATA: {'roll': '5.59', 'pitch': '-13.34', 'yaw': '172.80', 'AccX': '0.97', 'AccY': '-0.14', 'AccZ': '-0.24', 'millis': '25588'}
116 DATA: {'roll': '32.81', 'pitch': '7.05', 'yaw': '316.39', 'AccX': '0.97', 'AccY': '-1.16', 'AccZ': '-0.12', 'millis': '26188'}
117 DATA: {'roll': '10.69', 'pitch': '-23.53', 'yaw': '319.25', 'AccX': '-0.27', 'AccY': '0.03', 'AccZ': '0.49', 'millis': '26689'}
118 DATA: {'roll': '-27.36', 'pitch': '-4.26', 'yaw': '272.86', 'AccX': '-0.36', 'AccY': '-0.54', 'AccZ': '0.73', 'millis': '27489'}
119 DATA: {'roll': '-2.43', 'pitch': '-26.48', 'yaw': '249.73', 'AccX': '0.97', 'AccY': '-0.17', 'AccZ': '-0.23', 'millis': '28689'}
120 DATA: {'roll': '-281.17', 'pitch': '149.35', 'yaw': '-246.34', 'AccX': '0.89', 'AccY': '-0.88', 'AccZ': '-0.54', 'millis': '622011'}
121 DATA: {'roll': '-11.97', 'pitch': '-27.58', 'yaw': '-238.27', 'AccX': '-0.24', 'AccY': '0.00', 'AccZ': '0.51', 'millis': '622363'}
122 DATA: {'roll': '2.83', 'pitch': '11.64', 'yaw': '-249.18', 'AccX': '-0.53', 'AccY': '-0.24', 'AccZ': '0.62', 'millis': '622662'}
123 DATA: {'roll': '-21.49', 'pitch': '-42.51', 'yaw': '-250.46', 'AccX': '-0.79', 'AccY': '-0.09', 'AccZ': '0.44', 'millis': '622863'}
124 DATA: {'roll': '-12.81', 'pitch': '6.97', 'yaw': '-266.81', 'AccX': '-0.32', 'AccY': '-0.72', 'AccZ': '0.91', 'millis': '623113'}
125 DATA: {'roll': '-24.64', 'pitch': '8.95', 'yaw': '323.58', 'AccX': '0.12', 'AccY': '-0.35', 'AccZ': '0.13', 'millis': '-31997'}
126 DATA: {'roll': '-12.96', 'pitch': '2.58', 'yaw': '-327.30', 'AccX': '0.94', 'AccY': '-0.10', 'AccZ': '-0.25', 'millis': '-30997'}
127 DATA: {'roll': '-68.42', 'pitch': '-21.96', 'yaw': '-118.14', 'AccX': '-0.56', 'AccY': '-0.24', 'AccZ': '0.32', 'millis': '625313'}
128 DATA: {'roll': '9.13', 'pitch': '-1.58', 'yaw': '-124.68', 'AccX': '-0.48', 'AccY': '0.07', 'AccZ': '0.75', 'millis': '625612'}
129 DATA: {'roll': '1.24', 'pitch': '5.43', 'yaw': '-133.11', 'AccX': '-0.57', 'AccY': '-0.17', 'AccZ': '0.61', 'millis': '625813'}
130 DATA: {'roll': '-28.65', 'pitch': '-61.37', 'yaw': '-133.67', 'AccX': '-0.61', 'AccY': '-0.50', 'AccZ': '0.52', 'millis': '626113'}
131 DATA: {'roll': '-4.05', 'pitch': '-1.20', 'yaw': '-141.44', 'AccX': '-0.09', 'AccY': '-0.55', 'AccZ': '0.97', 'millis': '626363'}
132 DATA: {'roll': '-41.61', 'pitch': '12.57', 'yaw': '-219.73', 'AccX': '-0.01', 'AccY': '-0.36', 'AccZ': '0.17', 'millis': '626663'}
133 DATA: {'roll': '-12.40', 'pitch': '-27.49', 'yaw': '-256.94', 'AccX': '1.26', 'AccY': '-0.23', 'AccZ': '0.00', 'millis': '-28497'}
134 DATA: {'roll': '5.80', 'pitch': '-1.05', 'yaw': '-264.26', 'AccX': '0.92', 'AccY': '-0.12', 'AccZ': '-0.28', 'millis': '-27946'}
135 DATA: {'roll': '-60.23', 'pitch': '-146.19', 'yaw': '-254.11', 'AccX': '-0.83', 'AccY': '-0.20', 'AccZ': '0.42', 'millis': '629211'}
136 DATA: {'roll': '-15.22', 'pitch': '-13.89', 'yaw': '-262.86', 'AccX': '-0.40', 'AccY': '-0.57', 'AccZ': '0.84', 'millis': '629363'}
137 DATA: {'roll': '-9.31', 'pitch': '2.98', 'yaw': '-271.04', 'AccX': '-0.24', 'AccY': '-0.66', 'AccZ': '0.87', 'millis': '-25797'}
138 DATA: {'roll': '-23.69', 'pitch': '-1.29', 'yaw': '-318.03', 'AccX': '1.30', 'AccY': '-0.44', 'AccZ': '-0.08', 'millis': '630113'}
139 DATA: {'roll': '-27.64', 'pitch': '-12.47', 'yaw': '-326.68', 'AccX': '1.21', 'AccY': '-0.55', 'AccZ': '-0.16', 'millis': '630363'}
140 DATA: {'roll': '-1.96', 'pitch': '-5.08', 'yaw': '325.60', 'AccX': '0.92', 'AccY': '-0.16', 'AccZ': '-0.21', 'millis': '630614'}
