212338
131 DATA: {'roll': '-14.12', 'pitch': '8.36', 'yaw': '-163.80', 'AccX': '-0.34', 'AccY': '-0.65', 'AccZ': '0.22', 'millis': '2358'}
132 DATA: {'roll': '72.89', 'pitch': '8.07', 'yaw': '-222.54', 'AccX': '-0.77', 'AccY': '0.27', 'AccZ': '0.58', 'millis': '265602'}
133 DATA: {'roll': '14.77', 'pitch': '-17.99', 'yaw': '-261.08', 'AccX': '-0.43', 'AccY': '0.12', 'AccZ': '0.35', 'millis': '265801'}
134 DATA: {'roll': '-4.28', 'pitch': '-66.54', 'yaw': '-310.52', 'AccX': '1.34', 'AccY': '-0.33', 'AccZ': '0.64', 'millis': '266051'}
135 DATA: {'roll': '19.30', 'pitch': '-75.70', 'yaw': '-310.51', 'AccX': '1.32', 'AccY': '-0.21', 'AccZ': '-0.13', 'millis': '266351'}
136 DATA: {'roll': '49.58', 'pitch': '-4.24', 'yaw': '-299.20', 'AccX': '1.29', 'AccY': '-0.06', 'AccZ': '-0.53', 'millis': '4408'}
137 DATA: {'roll': '137.37', 'pitch': '116.90', 'yaw': '302.28', 'AccX': '-0.43', 'AccY': '-0.36', 'AccZ': '0.35', 'millis': '267201'}
138 DATA: {'roll': '-97.95', 'pitch': '-56.73', 'yaw': '-250.76', 'AccX': '-0.95', 'AccY': '0.39', 'AccZ': '0.86', 'millis': '6605'}
139 DATA: {'roll': '89.22', 'pitch': '-295.30', 'yaw': '-293.64', 'AccX': '1.43', 'AccY': '-0.55', 'AccZ': '0.41', 'millis': '7757'}
140 DATA: {'roll': '35.51', 'pitch': '44.21', 'yaw': '-173.37', 'AccX': '0.50', 'AccY': '-0.75', 'AccZ': '0.08', 'millis': '270451'}
141 DATA: {'roll': '44.46', 'pitch': '33.43', 'yaw': '-165.19', 'AccX': '-0.16', 'AccY': '-0.69', 'AccZ': '0.23', 'millis': '270651'}
142 DATA: {'roll': '48.49', 'pitch': '24.65', 'yaw': '-176.92', 'AccX': '-0.65', 'AccY': '-0.59', 'AccZ': '0.22', 'millis': '8708'}
143 DATA: {'roll': '72.64', 'pitch': '60.30', 'yaw': '-219.56', 'AccX': '-0.98', 'AccY': '-0.17', 'AccZ': '0.73', 'millis': '9207'}
144 DATA: {'roll': '-58.51', 'pitch': '-18.79', 'yaw': '-233.31', 'AccX': '-0.84', 'AccY': '0.01', 'AccZ': '0.71', 'millis': '272352'}
145 DATA: {'roll': '1.75', 'pitch': '-7.10', 'yaw': '-240.85', 'AccX': '-0.77', 'AccY': '-0.16', 'AccZ': '0.60', 'millis': '272803'}
146 DATA: {'roll': '-0.29', 'pitch': '1.02', 'yaw': '-241.08', 'AccX': '-0.77', 'AccY': '-0.17', 'AccZ': '0.62', 'millis': '272818'}
147 DATA: {'roll': '1.91', 'pitch': '-0.49', 'yaw': '-243.61', 'AccX': '-0.75', 'AccY': '-0.15', 'AccZ': '0.62', 'millis': '273002'}
148 DATA: {'roll': '0.90', 'pitch': '-0.20', 'yaw': '-247.32', 'AccX': '-0.79', 'AccY': '-0.21', 'AccZ': '0.58', 'millis': '273302'}

