901410
102 DATA: {'roll': '-2.23', 'pitch': '-1.41', 'yaw': '50.47', 'AccX': '-1.13', 'AccY': '-0.27', 'AccZ': '0.55', 'millis': '930023'}
103 DATA: {'roll': '-0.11', 'pitch': '-0.15', 'yaw': '47.10', 'AccX': '-0.95', 'AccY': '-0.23', 'AccZ': '0.30', 'millis': '930323'}
104 DATA: {'roll': '1.18', 'pitch': '-0.15', 'yaw': '48.97', 'AccX': '-1.32', 'AccY': '-0.18', 'AccZ': '0.44', 'millis': '930523'}
105 DATA: {'roll': '-6.79', 'pitch': '1.66', 'yaw': '32.34', 'AccX': '-0.92', 'AccY': '-0.23', 'AccZ': '0.38', 'millis': '930722'}
106 DATA: {'roll': '1.65', 'pitch': '5.71', 'yaw': '23.62', 'AccX': '-0.57', 'AccY': '-0.17', 'AccZ': '0.10', 'millis': '930923'}
107 DATA: {'roll': '-0.70', 'pitch': '0.55', 'yaw': '25.88', 'AccX': '-0.71', 'AccY': '-0.27', 'AccZ': '0.24', 'millis': '931123'}
108 DATA: {'roll': '2.91', 'pitch': '15.21', 'yaw': '17.14', 'AccX': '-0.81', 'AccY': '-0.39', 'AccZ': '0.59', 'millis': '931322'}
109 DATA: {'roll': '-3.24', 'pitch': '23.80', 'yaw': '4.87', 'AccX': '-0.74', 'AccY': '-0.31', 'AccZ': '-0.04', 'millis': '931523'}
110 DATA: {'roll': '1.78', 'pitch': '24.23', 'yaw': '-11.26', 'AccX': '-0.49', 'AccY': '-0.48', 'AccZ': '-0.57', 'millis': '931723'}
111 DATA: {'roll': '4.87', 'pitch': '8.52', 'yaw': '-15.19', 'AccX': '-0.23', 'AccY': '-0.86', 'AccZ': '-0.95', 'millis': '931973'}
112 DATA: {'roll': '-1.14', 'pitch': '-29.83', 'yaw': '-1.72', 'AccX': '-0.26', 'AccY': '-0.74', 'AccZ': '-0.80', 'millis': '932222'}
113 DATA: {'roll': '-12.69', 'pitch': '-39.43', 'yaw': '7.69', 'AccX': '-0.53', 'AccY': '-0.38', 'AccZ': '-0.13', 'millis': '932423'}
114 DATA: {'roll': '-13.20', 'pitch': '-15.47', 'yaw': '11.10', 'AccX': '-1.05', 'AccY': '-0.12', 'AccZ': '0.62', 'millis': '932623'}
115 DATA: {'roll': '9.89', 'pitch': '4.37', 'yaw': '13.14', 'AccX': '-0.69', 'AccY': '-0.17', 'AccZ': '0.12', 'millis': '932823'}
116 DATA: {'roll': '4.44', 'pitch': '-7.49', 'yaw': '18.83', 'AccX': '-0.66', 'AccY': '-0.16', 'AccZ': '0.15', 'millis': '933022'}
117 DATA: {'roll': '0.03', 'pitch': '3.04', 'yaw': '20.54', 'AccX': '-0.83', 'AccY': '-0.10', 'AccZ': '0.31', 'millis': '933223'}
118 DATA: {'roll': '-13.00', 'pitch': '-2.29', 'yaw': '-4.52', 'AccX': '-1.23', 'AccY': '-0.34', 'AccZ': '0.40', 'millis': '933423'}
119 DATA: {'roll': '-0.74', 'pitch': '-1.59', 'yaw': '-6.60', 'AccX': '-0.87', 'AccY': '-0.43', 'AccZ': '0.38', 'millis': '933723'}
120 DATA: {'roll': '-0.65', 'pitch': '0.79', 'yaw': '-2.89', 'AccX': '-1.15', 'AccY': '-0.36', 'AccZ': '0.48', 'millis': '933922'}
121 DATA: {'roll': '3.76', 'pitch': '2.17', 'yaw': '4.89', 'AccX': '-1.13', 'AccY': '-0.23', 'AccZ': '0.38', 'millis': '16669'}
122 DATA: {'roll': '2.25', 'pitch': '-10.46', 'yaw': '1.52', 'AccX': '-0.79', 'AccY': '-0.43', 'AccZ': '0.20', 'millis': '934723'}
123 DATA: {'roll': '-2.19', 'pitch': '20.66', 'yaw': '-2.71', 'AccX': '-0.77', 'AccY': '-0.51', 'AccZ': '0.52', 'millis': '934923'}
124 DATA: {'roll': '-9.75', 'pitch': '30.12', 'yaw': '-24.71', 'AccX': '-0.43', 'AccY': '-0.55', 'AccZ': '-0.35', 'millis': '935173'}
125 DATA: {'roll': '-2.80', 'pitch': '17.36', 'yaw': '-36.36', 'AccX': '-0.15', 'AccY': '-0.79', 'AccZ': '-1.05', 'millis': '935422'}
126 DATA: {'roll': '-5.86', 'pitch': '-20.47', 'yaw': '-34.32', 'AccX': '-0.18', 'AccY': '-0.83', 'AccZ': '-1.18', 'millis': '935623'}
127 DATA: {'roll': '-6.76', 'pitch': '-32.42', 'yaw': '-27.81', 'AccX': '-0.41', 'AccY': '-0.55', 'AccZ': '-0.37', 'millis': '935823'}
128 DATA: {'roll': '-22.44', 'pitch': '-20.08', 'yaw': '-29.25', 'AccX': '-0.86', 'AccY': '-0.20', 'AccZ': '0.47', 'millis': '936073'}
129 DATA: {'roll': '-9.78', 'pitch': '5.65', 'yaw': '-32.62', 'AccX': '-1.19', 'AccY': '-0.36', 'AccZ': '0.39', 'millis': '936272'}
130 DATA: {'roll': '-0.21', 'pitch': '-6.68', 'yaw': '-33.38', 'AccX': '-0.62', 'AccY': '-0.27', 'AccZ': '0.18', 'millis': '936473'}
131 DATA: {'roll': '-0.41', 'pitch': '-1.34', 'yaw': '-32.20', 'AccX': '-0.81', 'AccY': '-0.28', 'AccZ': '0.38', 'millis': '936772'}
132 DATA: {'roll': '-3.33', 'pitch': '-5.81', 'yaw': '-44.29', 'AccX': '-1.17', 'AccY': '-0.14', 'AccZ': '0.59', 'millis': '937023'}
133 DATA: {'roll': '-1.35', 'pitch': '1.98', 'yaw': '-47.07', 'AccX': '-1.02', 'AccY': '-0.19', 'AccZ': '0.49', 'millis': '937223'}
134 DATA: {'roll': '8.65', 'pitch': '4.96', 'yaw': '-38.33', 'AccX': '-1.20', 'AccY': '-0.24', 'AccZ': '0.40', 'millis': '937473'}
135 DATA: {'roll': '1.30', 'pitch': '2.59', 'yaw': '-46.09', 'AccX': '-0.74', 'AccY': '-0.30', 'AccZ': '0.24', 'millis': '937673'}
136 DATA: {'roll': '-19.78', 'pitch': '4.94', 'yaw': '-57.07', 'AccX': '-0.43', 'AccY': '-0.37', 'AccZ': '0.10', 'millis': '20369'}
137 DATA: {'roll': '5.27', 'pitch': '81.88', 'yaw': '-74.97', 'AccX': '-0.43', 'AccY': '-0.54', 'AccZ': '-0.61', 'millis': '938523'}
138 DATA: {'roll': '4.85', 'pitch': '11.58', 'yaw': '-75.48', 'AccX': '-0.31', 'AccY': '-0.70', 'AccZ': '-1.14', 'millis': '938723'}
139 DATA: {'roll': '0.28', 'pitch': '-35.68', 'yaw': '-68.62', 'AccX': '-0.28', 'AccY': '-0.60', 'AccZ': '-0.89', 'millis': '938973'}
140 DATA: {'roll': '-17.28', 'pitch': '-46.25', 'yaw': '-50.57', 'AccX': '-0.85', 'AccY': '-0.13', 'AccZ': '0.36', 'millis': '939323'}
141 DATA: {'roll': '-28.36', 'pitch': '5.19', 'yaw': '-56.80', 'AccX': '-1.27', 'AccY': '-0.16', 'AccZ': '0.64', 'millis': '939523'}
142 DATA: {'roll': '0.53', 'pitch': '-8.20', 'yaw': '-56.21', 'AccX': '-0.80', 'AccY': '-0.10', 'AccZ': '0.26', 'millis': '22269'}
143 DATA: {'roll': '4.36', 'pitch': '-21.04', 'yaw': '-78.94', 'AccX': '-1.23', 'AccY': '-0.16', 'AccZ': '0.49', 'millis': '940322'}
144 DATA: {'roll': '-0.90', 'pitch': '0.76', 'yaw': '-81.72', 'AccX': '-0.97', 'AccY': '-0.31', 'AccZ': '0.46', 'millis': '940523'}
145 DATA: {'roll': '3.07', 'pitch': '8.48', 'yaw': '-77.97', 'AccX': '-1.07', 'AccY': '0.00', 'AccZ': '0.40', 'millis': '23369'}
146 DATA: {'roll': '-7.11', 'pitch': '0.21', 'yaw': '-84.33', 'AccX': '-0.68', 'AccY': '-0.36', 'AccZ': '0.23', 'millis': '941323'}
147 DATA: {'roll': '8.57', 'pitch': '16.17', 'yaw': '-91.86', 'AccX': '-0.78', 'AccY': '-0.45', 'AccZ': '0.54', 'millis': '941573'}
148 DATA: {'roll': '1.16', 'pitch': '35.70', 'yaw': '-106.54', 'AccX': '-0.63', 'AccY': '-0.53', 'AccZ': '-0.19', 'millis': '941822'}
149 DATA: {'roll': '-3.60', 'pitch': '22.62', 'yaw': '-118.35', 'AccX': '-0.34', 'AccY': '-0.55', 'AccZ': '-0.74', 'millis': '942022'}
150 DATA: {'roll': '-2.01', 'pitch': '-14.81', 'yaw': '-117.60', 'AccX': '-0.25', 'AccY': '-0.92', 'AccZ': '-1.15', 'millis': '942273'}
151 DATA: {'roll': '-10.17', 'pitch': '-36.60', 'yaw': '-110.25', 'AccX': '-0.42', 'AccY': '-0.52', 'AccZ': '-0.45', 'millis': '942523'}
152 DATA: {'roll': '-14.55', 'pitch': '-30.19', 'yaw': '-103.72', 'AccX': '-0.68', 'AccY': '-0.20', 'AccZ': '0.27', 'millis': '942723'}
153 DATA: {'roll': '-21.87', 'pitch': '13.20', 'yaw': '-107.28', 'AccX': '-0.84', 'AccY': '-0.14', 'AccZ': '0.92', 'millis': '942922'}
154 DATA: {'roll': '10.62', 'pitch': '-9.11', 'yaw': '-98.37', 'AccX': '-0.59', 'AccY': '-0.19', 'AccZ': '0.23', 'millis': '943223'}
155 DATA: {'roll': '-3.09', 'pitch': '-1.53', 'yaw': '-98.60', 'AccX': '-0.85', 'AccY': '-0.27', 'AccZ': '0.35', 'millis': '943423'}
156 DATA: {'roll': '2.40', 'pitch': '-1.61', 'yaw': '-103.24', 'AccX': '-1.24', 'AccY': '-0.05', 'AccZ': '0.51', 'millis': '26119'}
157 DATA: {'roll': '-0.23', 'pitch': '3.92', 'yaw': '-117.26', 'AccX': '-0.97', 'AccY': '-0.07', 'AccZ': '0.33', 'millis': '944174'}
158 DATA: {'roll': '-14.12', 'pitch': '5.82', 'yaw': '-129.98', 'AccX': '-0.60', 'AccY': '-0.15', 'AccZ': '0.14', 'millis': '944373'}
159 DATA: {'roll': '-5.47', 'pitch': '8.68', 'yaw': '-138.87', 'AccX': '-0.80', 'AccY': '-0.29', 'AccZ': '0.11', 'millis': '27069'}
160 DATA: {'roll': '17.01', 'pitch': '70.46', 'yaw': '-155.43', 'AccX': '-0.65', 'AccY': '-0.34', 'AccZ': '0.00', 'millis': '945123'}
