736155
136 DATA: {'roll': '1.53', 'pitch': '-12.67', 'yaw': '18.41', 'AccX': '0.53', 'AccY': '-0.31', 'AccZ': '-0.75', 'millis': '783968'}
137 DATA: {'roll': '3.83', 'pitch': '-9.63', 'yaw': '16.82', 'AccX': '0.81', 'AccY': '0.00', 'AccZ': '-0.67', 'millis': '784167'}
138 DATA: {'roll': '-2.48', 'pitch': '2.37', 'yaw': '-0.17', 'AccX': '0.47', 'AccY': '-0.35', 'AccZ': '-0.90', 'millis': '784368'}
139 DATA: {'roll': '15.98', 'pitch': '-14.01', 'yaw': '8.80', 'AccX': '0.40', 'AccY': '-0.44', 'AccZ': '-1.10', 'millis': '784568'}
140 DATA: {'roll': '1.75', 'pitch': '-11.71', 'yaw': '4.38', 'AccX': '0.68', 'AccY': '-0.14', 'AccZ': '-0.75', 'millis': '784818'}
141 DATA: {'roll': '-6.52', 'pitch': '1.01', 'yaw': '-8.46', 'AccX': '0.33', 'AccY': '-0.34', 'AccZ': '-0.81', 'millis': '785017'}
142 DATA: {'roll': '3.56', 'pitch': '-4.14', 'yaw': '-9.11', 'AccX': '0.46', 'AccY': '-0.36', 'AccZ': '-0.88', 'millis': '785268'}
143 DATA: {'roll': '-1.47', 'pitch': '-4.42', 'yaw': '-7.56', 'AccX': '0.52', 'AccY': '-0.24', 'AccZ': '-0.82', 'millis': '785468'}
144 DATA: {'roll': '31.48', 'pitch': '-14.29', 'yaw': '-2.66', 'AccX': '0.45', 'AccY': '-0.65', 'AccZ': '-1.07', 'millis': '785668'}
145 DATA: {'roll': '71.87', 'pitch': '3.57', 'yaw': '36.89', 'AccX': '0.14', 'AccY': '-1.08', 'AccZ': '0.02', 'millis': '785968'}
146 DATA: {'roll': '28.68', 'pitch': '6.28', 'yaw': '42.87', 'AccX': '-0.43', 'AccY': '-0.08', 'AccZ': '0.51', 'millis': '-213'}
147 DATA: {'roll': '-39.45', 'pitch': '-19.06', 'yaw': '30.05', 'AccX': '0.16', 'AccY': '-0.31', 'AccZ': '1.01', 'millis': '786768'}
148 DATA: {'roll': '-5.24', 'pitch': '-3.40', 'yaw': '35.28', 'AccX': '-0.52', 'AccY': '-0.11', 'AccZ': '0.78', 'millis': '786968'}
149 DATA: {'roll': '1.77', 'pitch': '0.73', 'yaw': '36.17', 'AccX': '-0.88', 'AccY': '0.08', 'AccZ': '0.96', 'millis': '787168'}
150 DATA: {'roll': '4.07', 'pitch': '-7.61', 'yaw': '19.35', 'AccX': '-0.21', 'AccY': '-0.16', 'AccZ': '0.76', 'millis': '787418'}
151 DATA: {'roll': '-3.16', 'pitch': '-1.48', 'yaw': '25.34', 'AccX': '-0.24', 'AccY': '-0.12', 'AccZ': '0.81', 'millis': '1186'}
152 DATA: {'roll': '-4.12', 'pitch': '-1.10', 'yaw': '21.96', 'AccX': '-0.48', 'AccY': '-0.10', 'AccZ': '0.78', 'millis': '788068'}
153 DATA: {'roll': '-46.22', 'pitch': '-7.85', 'yaw': '13.04', 'AccX': '-0.39', 'AccY': '-0.22', 'AccZ': '0.47', 'millis': '1887'}
154 DATA: {'roll': '-29.72', 'pitch': '12.91', 'yaw': '-53.84', 'AccX': '0.48', 'AccY': '-0.22', 'AccZ': '-0.83', 'millis': '789518'}
155 DATA: {'roll': '9.62', 'pitch': '-17.48', 'yaw': '-35.64', 'AccX': '0.20', 'AccY': '-0.45', 'AccZ': '-0.88', 'millis': '789818'}
156 DATA: {'roll': '1.73', 'pitch': '-16.27', 'yaw': '-44.01', 'AccX': '0.64', 'AccY': '-0.19', 'AccZ': '-0.74', 'millis': '790068'}
157 DATA: {'roll': '10.12', 'pitch': '-24.52', 'yaw': '-153.95', 'AccX': '-0.56', 'AccY': '-0.06', 'AccZ': '0.79', 'millis': '791767'}
158 DATA: {'roll': '4.16', 'pitch': '0.08', 'yaw': '-148.68', 'AccX': '-0.10', 'AccY': '-0.27', 'AccZ': '0.85', 'millis': '791968'}
159 DATA: {'roll': '3.85', 'pitch': '-4.44', 'yaw': '-144.85', 'AccX': '-1.05', 'AccY': '0.28', 'AccZ': '0.88', 'millis': '792168'}
160 DATA: {'roll': '-4.66', 'pitch': '-10.07', 'yaw': '-162.12', 'AccX': '-0.39', 'AccY': '-0.08', 'AccZ': '0.87', 'millis': '792369'}
161 DATA: {'roll': '-7.43', 'pitch': '-5.70', 'yaw': '-146.94', 'AccX': '-0.40', 'AccY': '-0.16', 'AccZ': '0.82', 'millis': '792668'}
